MSA Code,MSA Title,AI User Share
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",39.7
19100,"Dallas-Fort Worth-Arlington, TX",39.4
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",38.6
26420,"Houston-Pasadena-The Woodlands, TX",38.4
12060,"Atlanta-Sandy Springs-Roswell, GA",38.0
41860,"San Francisco-Oakland-Fremont, CA",38.0
12420,"Austin-Round Rock-San Marcos, TX",37.8
42660,"Seattle-Tacoma-Bellevue, WA",36.8
16980,"Chicago-Naperville-Elgin, IL-IN",36.6
29820,"Las Vegas-Henderson-North Las Vegas, NV",36.5
41740,"San Diego-Chula Vista-Carlsbad, CA",36.3
36740,"Orlando-Kissimmee-Sanford, FL",36.2
41700,"San Antonio-New Braunfels, TX",35.4
35620,"New York-Newark-Jersey City, NY-NJ",35.2
14460,"Boston-Cambridge-Newton, MA-NH",35.1
40140,"Riverside-San Bernardino-Ontario, CA",35.1
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",34.7
31080,"Los Angeles-Long Beach-Anaheim, CA",34.7
45300,"Tampa-St. Petersburg-Clearwater, FL",33.8
12580,"Baltimore-Columbia-Towson, MD",33.7
16740,"Charlotte-Concord-Gastonia, NC-SC",33.6
38060,"Phoenix-Mesa-Chandler, AZ",33.4
17140,"Cincinnati, OH-KY-IN",32.9
19740,"Denver-Aurora-Centennial, CO",32.8
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",32.6
28140,"Kansas City, MO-KS",32.4
38900,"Portland-Vancouver-Hillsboro, OR-WA",31.1
40900,"Sacramento-Roseville-Folsom, CA",29.6
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",29.2
17410,"Cleveland, OH",29.1
19820,"Detroit-Warren-Dearborn, MI",29.1
26900,"Indianapolis-Carmel-Greenwood, IN",28.8
18140,"Columbus, OH",28.7
41180,"St. Louis, MO-IL",26.8
38300,"Pittsburgh, PA",25.8