Rank,State Name,State Abbr,AI User Share
1,District of Columbia,DC,40.3
2,Maryland,MD,36.3
3,Utah,UT,35.7
4,Texas,TX,35.3
5,Virginia,VA,34.7
6,New Jersey,NJ,34.5
7,Nevada,NV,34.2
8,California,CA,34
9,Connecticut,CT,34
10,Georgia,GA,33.7
11,Florida,FL,33.6
12,Massachusetts,MA,33.4
13,Illinois,IL,33.3
14,New York,NY,32.7
15,Rhode Island,RI,32.5
16,Colorado,CO,32.3
17,Washington,WA,32.2
18,Arizona,AZ,31.4
19,Hawaii,HI,30.6
20,Delaware,DE,30.6
21,New Hampshire,NH,30.2
22,North Carolina,NC,30.1
23,South Carolina,SC,29.1
24,Oklahoma,OK,28.9
25,Idaho,ID,28.8
26,Kansas,KS,28.6
27,Tennessee,TN,28.5
28,Oregon,OR,28.4
29,Ohio,OH,28.3
30,Wisconsin,WI,28.2
31,North Dakota,ND,28.2
32,Michigan,MI,27.4
33,South Dakota,SD,27.4
34,Alabama,AL,27.3
35,Pennsylvania,PA,27.2
36,Indiana,IN,26.8
37,Missouri,MO,26.8
38,Nebraska,NE,26.4
39,Minnesota,MN,26.3
40,Louisiana,LA,26.1
41,Arkansas,AR,26
42,Wyoming,WY,25.5
43,Kentucky,KY,25.1
44,Iowa,IA,24.4
45,New Mexico,NM,23.9
46,Alaska,AK,23.6
47,Vermont,VT,23.3
48,Mississippi,MS,22.9
49,Montana,MT,22.7
50,Maine,ME,21.4
51,West Virginia,WV,20.8